year,corporation,cost
2018-19,"Wannon Water",0.209778962
2018-19,"Western Water",0.198865938
2018-19,"Westernport Water",0.212431157
2018-19,"Yarra Valley Water",0.198348597
2019-20,"Barwon Water",0.186044437
2019-20,"Central Highlands Water",0.105632869
2019-20,"City West Water",0.19192004
2019-20,"Coliban",0.189793487
2019-20,"East Gippsland Water",0.215538392
2019-20,"GWMWater",0.230757878
2019-20,"Goulburn Murray Water",0.235011661
2019-20,"Goulburn Valley Water",0.24308388
2019-20,"Lower Murray Water",0.215432112
2019-20,"Melbourne Water",0.13004208
2019-20,"NE Water",0.201682355
2019-20,"South East Water",0.198621992
2019-20,"South Gippsland Water",0.214614408
2019-20,"Wannon Water",0.211383801
2019-20,"Western Water",0.189443663
2019-20,"Westernport Water",0.217904274
2019-20,"Yarra Valley Water",0.201682355
2020-21,"Barwon Water",0.174956839
2020-21,"Central Highlands Water",0.072153476
2020-21,"City West Water",0.177937522
2020-21,"Coliban",0.164137156
2020-21,"East Gippsland Water",0.203937654
2020-21,"GWMWater",0.207342361
2020-21,"Goulburn Murray Water",0.214392245
2020-21,"Goulburn Valley Water",0.20714069
2020-21,"Greater Western Water",0.058095735
2020-21,"Lower Murray Water",0.229656713
2020-21,"Melbourne Water",0.12851273
2020-21,"NE Water",0.188988388
2020-21,"South East Water",0.178358435
2020-21,"South Gippsland Water",0.21278285
2020-21,"Wannon Water",0.221314998
2020-21,"Western Water",0.168002539
2020-21,"Westernport Water",0.209755696
2020-21,"Yarra Valley Water",0.168438238
2021-22,"Barwon Water",0.161516207
2021-22,"Coliban",0.158916685
2021-22,"East Gippsland Water",0.176423416
2021-22,"GWMWater",0.199470042
2021-22,"Goulburn Murray Water",0.177895099
2021-22,"Goulburn Valley Water",0.211973434
2021-22,"Greater Western Water",0.17547953
2021-22,"Lower Murray Water",0.206161056
2021-22,"Melbourne Water",0.126631858
2021-22,"NE Water",0.20836156
2021-22,"South East Water",0.150248024
2021-22,"South Gippsland Water",0.182318105
2021-22,"Wannon Water",0.190773755
2021-22,"Westernport Water",0.222079982
2021-22,"Yarra Valley Water",0.188602026
2022-23,"Barwon Water",0.158645145
2022-23,"Central Highlands Water",0.182322244
2022-23,"Coliban",0.160558032
2022-23,"East Gippsland Water",0.176852672
2022-23,"GWMWater",0.197270919
2022-23,"Goulburn Murray Water",0.177616204
2022-23,"Goulburn Valley Water",0.182597437
2022-23,"Greater Western Water",0.166751846
2022-23,"Lower Murray Water",0.189100838
2022-23,"Melbourne Water",0.160766813
2022-23,"NE Water",0.234669918
2022-23,"South East Water",0.155862372
2022-23,"South Gippsland Water",0.177926557
2022-23,"Wannon Water",0.171537358
2022-23,"Westernport Water",0.1967715
2022-23,"Yarra Valley Water",0.173836202
2023-24,"Barwon Water",0.165688229
2023-24,"Central Highlands Water",0.181077022
2023-24,"Coliban",0.168143694
2023-24,"East Gippsland Water",0.181619575
2023-24,"GWMWater",0.210472204
2023-24,"Goulburn Murray Water",0.177691161
2023-24,"Goulburn Valley Water",0.203789742
2023-24,"Greater Western Water",0.175521958
2023-24,"Lower Murray Water",0.195362917
2023-24,"Melbourne Water",0.165982001
2023-24,"NE Water",0.21449654
2023-24,"South East Water",0.177098174
2023-24,"South Gippsland Water",0.173198733
2023-24,"Wannon Water",0.175665947
2023-24,"Westernport Water",0.215441385
2023-24,"Yarra Valley Water",0.189905275
2024-25,"Coliban",0.183387331
2024-25,"East Gippsland Water",0.295531197
2024-25,"NE Water",0.220510846
2024-25,"Wannon Water",0.202735532
2024-25,"Westernport Water",0.237447066
2024-25,"Yarra Valley Water",0.22122409
